DataYear,ID,PropertyName,ReportingStatus,Address,ZIPCode,ChicagoEnergyRating,ExemptFromChicagoEnergyRating,CommunityArea,PrimaryPropertyType,GrossFloorArea,YearBuilt,NumberOfBuildings,WaterUse,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI,TotalGHGEmissions,GHGIntensity,Latitude,Longitude,Location,Row_ID,Wards,CommunityAreas,ZipCodes,CensusTracts,HistoricalWards2003-2015
2019,100019,Dixon Building,Submitted,411 - 415 S Wells St,60607,3.0,False,LOOP,Office,60000.0,1908.0,1,1.0,65,2766951.8,1770986.7,,,,75.6,160.1,74.5,,554.4,9.2,41.87642552,-87.63335549,"(41.87642552, -87.63335549)",2019-100019,26,38,14917.0,92,48
2021,100019,411 S Wells,Submitted,411 - 415 S Wells St,60607,4.0,False,LOOP,Office,58200.0,1908.0,1,,87,1261422.2,1798578.8,0.0,0.0,,52.6,93.1,55.8,95.8,275.7,4.7,41.87642552,-87.63335549,"(41.87642552, -87.63335549)",2021-100019,26,38,14917.0,92,48
2015,100068,Joffco Square,Submitted,555 West Roosevelt Road,60607,nan,,NEAR WEST SIDE,Other - Mall,95204.0,2008.0,1,,,7497986.0,1366562.0,,,,93.1,262.4,95.6,268.4,1579.0,16.6,41.866867,-87.64144957,"(41.866867, -87.64144957)",2015-100068,48,29,14917.0,97,48
2016,100068,Joffco Square,Submitted,555 West Roosevelt Road,60607,nan,,NEAR WEST SIDE,Other - Mall,95204.0,2008.0,1,,,6972237.8,1997780.9,,,,94.2,252.0,99.3,263.3,1391.2,14.6,41.866867,-87.64144957,"(41.866867, -87.64144957)",2016-100068,48,29,14917.0,97,48
2017,100068,Joffco Square,Submitted,555 West Roosevelt Road,60607,nan,,NEAR WEST SIDE,Other - Mall,95204.0,2008.0,1,,,6748789.0,1363555.0,,,,85.2,237.6,89.5,248.5,1320.2,13.9,41.866867,-87.64144957,"(41.866867, -87.64144957)",2017-100068,48,29,14917.0,97,48
2018,100068,Joffco Square,Submitted,555 West Roosevelt Road,60607,4.0,False,NEAR WEST SIDE,Other - Mall,95204.0,2008.0,1,737.0,,5911184.2,1598610.5,,,,78.9,191.5,77.7,188.2,1068.3,11.2,41.866867,-87.64144957,"(41.866867, -87.64144957)",2018-100068,48,29,14917.0,97,48
2019,100068,Joffco Square,Submitted,555 W Roosevelt Rd,60607,4.0,False,NEAR WEST SIDE,Other - Mall,95204.0,2008.0,1,,,6433462.5,1309073.4,,,,81.3,203.6,79.4,,1139.8,12.0,41.866867,-87.64144957,"(41.866867, -87.64144957)",2019-100068,48,29,14917.0,97,48
2021,100068,Joffco Square,Submitted,555 W Roosevelt Rd,60607,2.0,False,NEAR WEST SIDE,Other - Mall,173704.0,2008.0,1,,,8553112.9,144608.0,0.0,0.0,,91.4,253.1,95.1,263.2,1229.3,12.9,41.866867,-87.64144957,"(41.866867, -87.64144957)",2021-100068,48,29,14917.0,97,48
2016,100148,7144 S Jeffery Blvd,Submitted,7144 S Jeffery Blvd,60649,nan,,SOUTH SHORE,Multifamily Housing,56412.0,1932.0,1,,38,952654.3,6014842.5,,,,123.5,165.0,136.2,179.6,495.1,8.8,41.76259226,-87.57231648,"(41.76259226, -87.57231648)",2016-100148,33,39,22538.0,453,32
2017,100148,7144 S Jeffery Blvd,Submitted,7144 S Jeffery Blvd,60649,nan,,SOUTH SHORE,Multifamily Housing,56412.0,1932.0,1,,,,,,,,,,,,,,41.76259226,-87.57231648,"(41.76259226, -87.57231648)",2017-100148,33,39,22538.0,453,32
2018,100148,The Jeffery Cyril Building,Submitted,7144-48 S Jeffery Blvd,60649,1.0,False,SOUTH SHORE,Multifamily Housing,56412.0,1927.0,1,6938.0,15,1113884.9,7876653.7,,,,159.4,201.9,160.7,203.3,603.7,10.7,41.76259226,-87.57231648,"(41.76259226, -87.57231648)",2018-100148,33,39,22538.0,453,32
2015,100179,Saint Anthony Hospital - Main Hospital,Submitted,2875 West 19th Street,60623,nan,,SOUTH LAWNDALE,Hospital (General Medical & Surgical),239057.0,1897.0,1,,44,25883466.0,41775015.0,,,,283.0,523.5,286.3,524.2,7419.0,31.0,41.85513555,-87.6978405,"(41.85513555, -87.6978405)",2015-100179,1,32,21569.0,203,29
2016,100179,Saint Anthony Hospital - Main Hospital,Submitted,2875 West 19th Street,60623,nan,,SOUTH LAWNDALE,Hospital (General Medical & Surgical),239057.0,1897.0,1,,47,25863669.7,41427477.1,,,,281.5,521.7,285.8,521.1,6967.6,29.1,41.85513555,-87.6978405,"(41.85513555, -87.6978405)",2016-100179,1,32,21569.0,203,29
2017,100179,Saint Anthony Hospital - Main Hospital,Submitted,2875 West 19th Street,60623,nan,,SOUTH LAWNDALE,Hospital (General Medical & Surgical),239057.0,1897.0,1,,55,24796461.0,38109935.0,,,,263.1,493.1,268.6,496.7,6608.9,27.6,41.85513555,-87.6978405,"(41.85513555, -87.6978405)",2017-100179,1,32,21569.0,203,29
2018,100179,Saint Anthony Hospital - Main Hospital,Submitted,2875 West 19th Street,60623,2.5,False,SOUTH LAWNDALE,Hospital (General Medical & Surgical),239057.0,1897.0,1,16992.0,56,24686396.6,40586862.8,,,,273.0,467.4,269.6,462.4,6262.7,26.2,41.85513555,-87.6978405,"(41.85513555, -87.6978405)",2018-100179,1,32,21569.0,203,29
2019,100179,Saint Anthony Hospital - Main Hospital,Submitted,2875 W 19th St,60623,3.5,False,SOUTH LAWNDALE,Hospital (General Medical & Surgical),239057.0,1897.0,1,,72,21144112.8,40979741.0,,,,259.9,,,,,,41.85513555,-87.6978405,"(41.85513555, -87.6978405)",2019-100179,1,32,21569.0,203,29
2021,100179,Saint Anthony Hospital - Main Hospital,Submitted,2875 W 19th St,60623,2.5,False,SOUTH LAWNDALE,Hospital (General Medical & Surgical),450612.0,1897.0,1,,56,23712134.1,44202524.7,0.0,0.0,,284.1,471.9,290.8,473.5,5734.5,24.0,41.85513555,-87.6978405,"(41.85513555, -87.6978405)",2021-100179,1,32,21569.0,203,29
2016,100211,73 East Lake,Submitted,73 E Lake St,60601,nan,,LOOP,Multifamily Housing,298552.0,2014.0,1,,27,12480031.5,15143041.8,,,,92.5,184.5,97.2,189.5,3104.7,10.4,41.885241,-87.62546943,"(41.885241, -87.62546943)",2016-100211,36,38,14309.0,580,22
2017,100211,73 East Lake,Submitted,73 E Lake St,60601,nan,,LOOP,Multifamily Housing,298552.0,2014.0,1,,4,12024454.0,30103073.0,,,,141.1,232.3,154.2,246.1,3822.2,12.8,41.885241,-87.62546943,"(41.885241, -87.62546943)",2017-100211,36,38,14309.0,580,22
2018,100211,73 East Lake,Submitted,73 E Lake St,60601,4.0,False,LOOP,Multifamily Housing,298552.0,2014.0,1,10914.0,95,4447067.7,17512616.8,,,,73.6,103.3,71.3,100.3,1670.0,5.6,41.885241,-87.62546943,"(41.885241, -87.62546943)",2018-100211,36,38,14309.0,580,22
2019,100211,73 East Lake,Submitted,73 E LAKE ST,60601,4.0,False,LOOP,,,,,,95,4405086.5,16983050.2,,,,71.6,101.0,69.9,,,,41.885241,-87.62546943,"(41.885241, -87.62546943)",2019-100211,36,38,14309.0,580,22
2021,100211,73 East Lake (sl75),Submitted,73 E LAKE ST,60601,4.0,False,LOOP,Multifamily Housing,407921.0,2014.0,1,,82,7095605.4,14925477.7,0.0,0.0,,73.8,119.0,78.3,123.8,1806.2,6.0,41.885241,-87.62546943,"(41.885241, -87.62546943)",2021-100211,36,38,14309.0,580,22
2016,100252,Roseland Place,Submitted,10426 S. Michigan Avenue,60628,nan,,ROSELAND,Multifamily Housing,74240.0,2011.0,1,,98,1630117.5,180425.5,,,,24.4,71.5,23.9,69.3,310.0,4.2,41.69755188,-87.61477587,"(41.69755188, -87.61477587)",2016-100252,43,45,21861.0,237,30
2017,100252,Roseland Place,Submitted,10426 S. Michigan Avenue,60628,nan,,ROSELAND,Multifamily Housing,74240.0,2011.0,1,,97,1604876.0,265877.0,,,,25.2,71.6,25.2,71.7,310.9,4.2,41.69755188,-87.61477587,"(41.69755188, -87.61477587)",2017-100252,43,45,21861.0,237,30
2018,100252,Roseland Place,Submitted,10426 S. Michigan Avenue,60628,4.0,False,ROSELAND,Multifamily Housing,74240.0,2011.0,1,2194.0,99,1680765.2,5390.0,,,,22.7,63.5,22.5,62.9,279.9,3.8,41.69755188,-87.61477587,"(41.69755188, -87.61477587)",2018-100252,43,45,21861.0,237,30
2019,100252,10426  S MICHIGAN AVE,Submitted,10426  S MICHIGAN AVE,60628,4.0,False,ROSELAND,Multifamily Housing,47039.0,2011.0,1,1460.0,85,1726157.4,79566.0,,,,38.4,104.5,38.0,,291.4,6.2,41.69755188,-87.61477587,"(41.69755188, -87.61477587)",2019-100252,43,45,21861.0,237,30
2021,100252,Roseland Place,Submitted,10426  S MICHIGAN AVE,60628,4.0,False,ROSELAND,Multifamily Housing,47039.0,2011.0,1,,91,1547175.2,80334.7,0.0,0.0,,34.6,93.9,33.8,91.3,225.2,4.8,41.69755188,-87.61477587,"(41.69755188, -87.61477587)",2021-100252,43,45,21861.0,237,30
2014,100256,Curie Metrop-CPS,Submitted,4975 S Archer,60632,nan,,ARCHER HEIGHTS,K-12 School,447330.0,1990.0,1,,19,35792767.0,7180231.0,,,,96.0,268.0,93.0,261.0,7573.0,16.93,41.802759,-87.722671,"(41.802759, -87.722671)",2014-100256,8,54,22248.0,698,49
2015,100256,Curie Metrop-CPS,Submitted,4975 S Archer,60632,nan,,ARCHER HEIGHTS,K-12 School,415577.0,1990.0,1,,32,28253042.0,8608025.0,,,,88.7,235.2,90.6,238.7,6134.0,14.8,41.802759,-87.722671,"(41.802759, -87.722671)",2015-100256,8,54,22248.0,698,49
2016,100256,Curie Metrop-CPS,Submitted,4975 S Archer,60632,nan,,ARCHER HEIGHTS,K-12 School,415577.0,1990.0,1,,50,24562152.1,8563349.0,,,,79.7,207.2,83.6,214.4,4982.2,12.0,41.802759,-87.722671,"(41.802759, -87.722671)",2016-100256,8,54,22248.0,698,49
2017,100256,Curie Metrop-CPS,Submitted,4975 S Archer,60632,nan,,ARCHER HEIGHTS,K-12 School,415577.0,1990.0,1,,46,25157805.0,6722516.0,,,,76.7,207.1,79.7,212.4,5008.6,12.1,41.802759,-87.722671,"(41.802759, -87.722671)",2017-100256,8,54,22248.0,698,49
2018,100256,Curie Metrop-CPS,Submitted,4975 S Archer,60632,1.0,False,ARCHER HEIGHTS,K-12 School,415577.0,1990.0,1,9627.0,26,25952313.5,9307864.1,,,,84.8,198.4,85.5,199.5,4811.9,11.6,41.802759,-87.722671,"(41.802759, -87.722671)",2018-100256,8,54,22248.0,698,49
2021,100256,Marie Sklodowska Curie Metropolitan High School,Submitted,4975 S Archer Ave,60632,1.5,False,ARCHER HEIGHTS,K-12 School,415577.0,1973.0,2,,33,19594396.1,8824600.4,0.0,0.0,,68.4,154.3,72.5,161.0,3267.3,7.9,41.802759,-87.722671,"(41.802759, -87.722671)",2021-100256,8,54,22248.0,698,49
2017,100317,C5504WAB (22251),Submitted,5504 S WABASH AVE,60637,nan,,WASHINGTON PARK,Multifamily Housing,80000.0,1904.0,1,,84,547664.0,5949883.0,,,,81.2,99.6,87.9,106.6,417.3,5.2,41.78046327,-87.6053081,"(41.78046327, -87.6053081)",2017-100317,4,9,22260.0,470,53
2018,100317,C5504WAB (22251),Submitted,5504 S WABASH AVE,60637,3.5,False,WASHINGTON PARK,Multifamily Housing,80000.0,1904.0,1,8834.0,73,581281.3,6772576.1,,,,91.9,109.2,89.6,106.2,456.4,5.7,41.78046327,-87.6053081,"(41.78046327, -87.6053081)",2018-100317,4,9,22260.0,470,53
2019,100317,C5504WAB (22251),Submitted,5500 5518 S WABASH AVE,60637,3.5,False,WASHINGTON PARK,Multifamily Housing,80000.0,1904.0,1,,57,651217.7,7365698.8,,,,100.2,119.5,97.2,,499.6,6.2,41.78046327,-87.6053081,"(41.78046327, -87.6053081)",2019-100317,4,9,22260.0,470,53
2021,100317,C5504WAB (22251),Submitted,5500 5518 S WABASH AVE,60637,3.5,False,WASHINGTON PARK,Multifamily Housing,72332.0,1904.0,1,,51,676207.2,6874633.9,0.0,0.0,,104.4,126.0,112.2,133.6,461.7,6.4,41.78046327,-87.6053081,"(41.78046327, -87.6053081)",2021-100317,4,9,22260.0,470,53
2016,100320,"IMDC LAPORTE, LLC",Submitted,4039 4051 LAPORTE AVE,60202,nan,,PORTAGE PARK,Multifamily Housing,96000.0,1934.0,1,,79,335553.1,6867700.1,,,,75.0,86.1,80.6,91.7,426.8,4.4,41.94615136,-87.74707694,"(41.94615136, -87.74707694)",2016-100320,21,15,22618.0,360,25
2018,100320,"IMDC LAPORTE, LLC",Submitted,4039 4051 LAPORTE AVE,60641,4.0,False,PORTAGE PARK,Multifamily Housing,96000.0,1934.0,1,2949.0,82,323935.3,6388787.0,,,,69.9,79.3,71.1,80.6,393.2,4.1,41.94615136,-87.74707694,"(41.94615136, -87.74707694)",2018-100320,21,15,22618.0,360,25
2021,100320,"IMDC LAPORTE, LLC",Submitted,4039 4051 N LAPORTE AVE,60641,4.0,False,PORTAGE PARK,Multifamily Housing,96000.0,1934.0,1,,94,344536.9,4745400.4,0.0,0.0,,53.0,62.0,58.8,67.8,301.3,3.1,41.94615136,-87.74707694,"(41.94615136, -87.74707694)",2021-100320,21,15,22618.0,360,25
2014,100332,Lindblom Col-CPS,Submitted,6130 S Wolcott Ave,60636,nan,,WEST ENGLEWOOD,K-12 School,305788.0,1917.0,1,,78,6702297.0,14754931.0,,,,70.0,120.0,66.0,116.0,2130.0,6.97,41.78206597,-87.67220934,"(41.78206597, -87.67220934)",2014-100332,3,65,22257.0,275,44
2015,100332,Lindblom Col-CPS,Submitted,6130 S Wolcott Ave,60636,nan,,WEST ENGLEWOOD,K-12 School,305788.0,1917.0,1,,79,6704034.0,14486522.0,,,,69.3,118.6,73.09999999999998,122.6,2116.0,6.9,41.78206597,-87.67220933999998,"(41.78206597, -87.67220934)",2015-100332,3,65,22257.0,275,44
2016,100332,Lindblom Col-CPS,Submitted,6130 S Wolcott Ave,60636,nan,,WEST ENGLEWOOD,K-12 School,305788.0,1917.0,1,,83,6605311.3,14183691.4,,,,68.0,116.5,75.0,123.9,1970.9,6.4,41.78206597,-87.67220934,"(41.78206597, -87.67220934)",2016-100332,3,65,22257.0,275,44
2017,100332,Lindblom Col-CPS,Submitted,6130 S Wolcott Ave,60636,nan,,WEST ENGLEWOOD,K-12 School,305788.0,1917.0,1,,82,6346525.0,13976193.0,,,,66.5,113.2,73.5,120.4,1915.8,6.3,41.78206597,-87.67220934,"(41.78206597, -87.67220934)",2017-100332,3,65,22257.0,275,44
2018,100332,Lindblom Col-CPS,Submitted,6130 S Wolcott Ave,60636,3.0,False,WEST ENGLEWOOD,K-12 School,305788.0,1917.0,1,2952.0,67,6293758.1,16083753.2,,,,73.2,112.9,70.9,110.4,1901.3,6.2,41.78206597,-87.67220934,"(41.78206597, -87.67220934)",2018-100332,3,65,22257.0,275,44
2021,100332,Robert Lindblom Math & Science Academy HS,Submitted,6130 S Wolcott Ave,60636,3.0,False,WEST ENGLEWOOD,K-12 School,305788.0,1919.0,1,,65,5926012.8,16418689.8,0.0,0.0,,73.1,110.6,80.5,117.5,1718.5,5.6,41.78206597,-87.67220934,"(41.78206597, -87.67220934)",2021-100332,3,65,22257.0,275,44
2016,100334,Gold Coast City Apartments,Submitted,860 N. DeWitt Place,60611,nan,,NEAR NORTH SIDE,Multifamily Housing,124000.0,1967.0,1,,10,3303105.7,14963147.9,,,,147.3,210.3,161.6,224.2,1403.6,11.3,41.89579275,-87.62247957,"(41.89579275, -87.62247957)",2016-100334,11,37,21182.0,158,22
2017,100334,Gold Coast City Apartments,Submitted,860 N. DeWitt Place,60611,nan,,NEAR NORTH SIDE,Multifamily Housing,124000.0,1967.0,1,,9,3067754.0,15175137.0,,,,147.1,206.2,158.6,217.6,1373.2,11.1,41.89579275,-87.62247957,"(41.89579275, -87.62247957)",2017-100334,11,37,21182.0,158,22
2018,100334,Gold Coast City-City Club,Submitted,860 N. DeWitt Place,60611,1.0,False,NEAR NORTH SIDE,Multifamily Housing,124000.0,1967.0,1,5303.0,7,3044952.4,17291200.2,,,,164.0,215.2,164.9,216.0,1425.0,11.5,41.89579275,-87.62247957,"(41.89579275, -87.62247957)",2018-100334,11,37,21182.0,158,22
2016,100346,2609 W. Belmont Apartments,Submitted,2609 W. Belmont Ave.,60618,nan,,AVONDALE,Multifamily Housing,87196.0,2013.0,1,,100,1278084.0,1862703.0,,,,36.0,68.5,37.8,70.3,334.5,3.8,41.94672055,-87.70319673,"(41.94672055, -87.70319673)",2016-100346,20,16,21538.0,372,2
2017,100346,2609 W. Belmont Apartments,Submitted,2609 W. Belmont Ave.,60618,nan,,AVONDALE,Multifamily Housing,87196.0,2013.0,1,,89,1533291.0,3889053.0,,,,62.2,102.0,62.2,102.0,490.1,5.6,41.94672055,-87.70319673,"(41.94672055, -87.70319673)",2017-100346,20,16,21538.0,372,2
2018,100346,2609 W. Belmont Apartments,Submitted,2609 W. Belmont Ave.,60618,4.0,False,AVONDALE,Multifamily Housing,87196.0,2013.0,1,1621.0,96,1702792.7,2937130.1,,,,53.2,90.0,53.2,90.0,439.3,5.0,41.94672055,-87.70319673,"(41.94672055, -87.70319673)",2018-100346,20,16,21538.0,372,2
2019,100346,2609 W. Belmont Apartments,Submitted,2609 W BELMONT AVE,60618,4.0,False,AVONDALE,Multifamily Housing,87196.0,2013.0,1,,98,1592697.7,2659494.5,,,,48.8,,,,,,41.94672055,-87.70319673,"(41.94672055, -87.70319673)",2019-100346,20,16,21538.0,372,2
2021,100346,2609 W. Belmont Apartments,Submitted,2609 W BELMONT AVE,60618,3.0,False,AVONDALE,Multifamily Housing,104796.0,2013.0,1,,70,2870150.5,2048614.3,0.0,0.0,,56.4,116.8,58.8,119.4,518.7,5.9,41.94672055,-87.70319673,"(41.94672055, -87.70319673)",2021-100346,20,16,21538.0,372,2
2015,100372,Holy Cross Hospial,Submitted,2701 W 68th Street,60629,nan,,CHICAGO LAWN,Hospital (General Medical & Surgical),409910.0,1922.0,1,,16,32239913.0,116219010.0,,,,362.2,544.7,361.5,544.0,12650.0,30.9,41.770003,-87.690841,"(41.770003, -87.690841)",2015-100372,31,64,21867.0,383,44
2017,100372,Building,Submitted,2701 W. 68th Street,60629,nan,,CHICAGO LAWN,Hospital (General Medical & Surgical),409910.0,1911.0,1,,10,35184544.0,119199985.0,,,,376.6,574.9,,,12836.7,31.3,41.770003,-87.690841,"(41.770003, -87.690841)",2017-100372,31,64,21867.0,383,44
2019,100372,Holy Cross Hospial,Submitted,2701 W 68th St,60629,1.0,False,CHICAGO LAWN,Hospital (General Medical & Surgical),409910.0,1911.0,1,,7,31978321.7,128912488.5,,,,392.5,548.7,,,12167.2,29.7,41.770003,-87.690841,"(41.770003, -87.690841)",2019-100372,31,64,21867.0,383,44
2021,100372,Holy Cross Hospial,Submitted,2701 W 68th St,60629,0.0,False,CHICAGO LAWN,Hospital (General Medical & Surgical),442222.0,1922.0,1,,,0.0,0.0,0.0,0.0,,,,,,,,41.770003,-87.690841,"(41.770003, -87.690841)",2021-100372,31,64,21867.0,383,44
2016,100375,CGP_FRAW3600 (22112),Submitted,3600 W FRANKLIN BLVD,60624,nan,,HUMBOLDT PARK,Multifamily Housing,51380.0,,1,,100,95234.4,1348789.7,,,,28.1,33.4,28.1,33.4,89.2,1.7,41.8808242,-87.72327934,"(41.8808242, -87.72327934)",2016-100375,23,27,21572.0,658,11
2017,100375,C3600FRA (22112),Submitted,3600 W FRANKLIN BLVD,60624,nan,,HUMBOLDT PARK,Multifamily Housing,63514.0,1917.0,1,,51,541310.0,5527781.0,,,,95.6,118.1,104.2,127.4,393.7,6.2,41.8808242,-87.72327934,"(41.8808242, -87.72327934)",2017-100375,23,27,21572.0,658,11
2018,100375,C3600FRA (22112),Submitted,3600 W FRANKLIN BLVD,60624,4.0,False,HUMBOLDT PARK,Multifamily Housing,63514.0,1917.0,1,3303.0,88,608857.8,3670412.3,,,,67.4,87.5,67.5,87.7,296.2,4.7,41.8808242,-87.72327934,"(41.8808242, -87.72327934)",2018-100375,23,27,21572.0,658,11
2019,100375,C3600FRA (22112),Submitted,3600 3612 W FRANKLIN BLVD,60624,4.0,False,HUMBOLDT PARK,Multifamily Housing,63514.0,1917.0,1,3225.0,88,599566.9,3515383.9,,,,64.8,84.5,63.2,,286.5,4.5,41.8808242,-87.72327934,"(41.8808242, -87.72327934)",2019-100375,23,27,21572.0,658,11
2021,100375,C3600FRA (22112),Submitted,3600 3612 W FRANKLIN BLVD,60624,2.5,False,HUMBOLDT PARK,Multifamily Housing,63514.0,1917.0,1,,60,692864.6,4563750.8,0.0,0.0,,82.8,106.0,88.9,111.5,341.4,5.4,41.8808242,-87.72327934,"(41.8808242, -87.72327934)",2021-100375,23,27,21572.0,658,11
2015,100393,Ford City Mall,Submitted,7601 S Cicero Ave,60652,nan,,WEST LAWN,Enclosed Mall,864923.0,1950.0,1,,,154672545.0,53147523.0,,,,240.3,626.0,240.3,626.0,33899.0,39.2,41.75582921,-87.73699268,"(41.75582921, -87.73699268)",2015-100393,30,63,4300.0,318,23
2016,100393,Ford City Mall,Submitted,7601 S Cicero Ave,60652,nan,,WEST LAWN,Enclosed Mall,864923.0,1950.0,1,,,153699613.4,53101523.9,,,,239.1,622.5,236.3,613.8,31150.6,36.0,41.75582921,-87.73699268,"(41.75582921, -87.73699268)",2016-100393,30,63,4300.0,318,23
2017,100393,Ford City Mall,Submitted,7601 S Cicero Ave,60652,nan,,WEST LAWN,Enclosed Mall,864923.0,1950.0,1,,,142925541.0,53244653.0,,,,226.8,583.5,224.4,576.0,29254.3,33.8,41.75582921,-87.73699268,"(41.75582921, -87.73699268)",2017-100393,30,63,4300.0,318,23
2018,100393,Ford City Mall,Submitted,7601 S Cicero Ave,60652,2.0,False,WEST LAWN,Enclosed Mall,864923.0,1950.0,1,,,142267502.6,7057033.5,,,,172.6,469.1,172.8,469.3,24043.1,27.8,41.75582921,-87.73699268,"(41.75582921, -87.73699268)",2018-100393,30,63,4300.0,318,23
2019,100393,Ford City Mall,Submitted,7601 S Cicero Ave,60652,nan,True,WEST LAWN,Enclosed Mall,864923.0,1950.0,1,,,112895334.8,11780942.4,,,,144.1,,,,,,41.75582921,-87.73699268,"(41.75582921, -87.73699268)",2019-100393,30,63,4300.0,318,23
2021,100393,Ford City Mall,Submitted,7601 S Cicero Ave,60652,1.0,False,WEST LAWN,Enclosed Mall,1939923.0,1950.0,1,,,125127286.5,11103883.6,0.0,0.0,,157.5,418.6,159.1,420.2,18461.3,21.3,41.75582921,-87.73699268,"(41.75582921, -87.73699268)",2021-100393,30,63,4300.0,318,23
2014,100395,Daley,Submitted,7500 South Pulaski Ave,60652,nan,,WEST LAWN,College/University,501591.0,1970.0,9,,,14635361.0,17818961.0,,,,65.0,129.0,62.0,126.0,3887.0,7.75,41.75742978,-87.724956,"(41.75742978, -87.724956)",2014-100395,30,63,4300.0,318,23
2015,100395,Daley,Submitted,7500 South Pulaski Ave,60652,nan,,WEST LAWN,College/University,501591.0,1970.0,9,,,14052090.0,14214486.0,,,,56.4,117.7,58.9,120.7,3578.0,7.1,41.75629268,-87.72224,"(41.75629268, -87.72224)",2015-100395,30,63,4300.0,318,23
2016,100395,Daley,Submitted,7500 South Pulaski Ave,60652,nan,,WEST LAWN,College/University,501591.0,1970.0,9,,,14042918.5,14491155.1,,,,56.9,118.2,61.1,122.6,3366.2,6.7,41.75629268,-87.72224,"(41.75629268, -87.72224)",2016-100395,30,63,4300.0,318,23
