Name,Office,Office Phone,Fax,Email,Website,Office Address,City,State,Zip,City Hall Phone,City Hall Address,City,State,Zip
"Rodriguez, Michael D.",22,(773) 762-1771,(773) 762-1825,Ward22@cityofchicago.org,,2500 South St. Louis Avenue,Chicago,IL,60623,(312) 744-9491/9492/3325,"121 North LaSalle Street, Room 300, Office 30",Chicago,IL,60602
"Rodriguez Sanchez, Rossana",33,(773) 840-7880,,Ward33@cityofchicago.org,,4747 North Sawyer Avenue,Chicago,IL,60625,(312) 744-3373/3379/1367,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Robinson, Lamont J.",04,(312)744-2690,,Ward04@cityofchicago.org,,928 East 43rd Street,Chicago,IL,60653,(312) 744-2690/8438,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Reilly, Brendan",42,(312) 642-4242,(312) 642-0420,Ward42@cityofchicago.org,,"121 North LaSalle Street, Room 200, Office 6",Chicago,IL,60602,(312) 642-4242,"121 North LaSalle Street, Room 200, Office 6",Chicago,IL,60602
"Ramirez, Julia M.",12,(773) 475-6783,,Ward12@cityofchicago.org,,3868 South Archer Avenue,Chicago,IL,60632,(312) 744-3068/4025,"121 North Lasalle, Room 200",Chicago,IL,60632
"Quinn, Marty",13,(773) 581-8000,(773) 581-9414,Ward13@cityofchicago.org,,6500 South Pulaski Road,Chicago,IL,60629,(312) 744-3058/3076,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Quezada, Anthony J.",35,(773) 887-3772,773) 887-5739,ward35@cityofchicago.org,,"2934 North Milwaukee Avenue, Unit C",Chicago,IL,60618,(312) 744-6835/3109/6845,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"O'Shea, Matthew J.",19,(773) 238-8766,(773) 672-5133,Ward19@cityofchicago.org,http://the19thward.com/,10400 South Western Avenue,Chicago,IL,60643,(312) 744-3072 / 5682 /2679,"121 North LaSalle Street, Room 200",Chicago,IL,60602
"Nugent, Samantha",39,(773) 736-5594,,Ward39@cityofchicago.org,http://www.ward39@cityofchicago.org,4200 West Lawrence Avenue,Chicago,IL,60630,(312) 744-7242/7243/3023,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Napolitano, Anthony V.",41,(773) 631-2241,(773) 631-2479,Ward41@cityofchicago.org,http://www.chicago41.com,7231 West Touhy Avenue,Chicago,IL,60631,(312) 744-3942/3208,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Mosley, Ronnie L.",21,(773) 881-9300,,Ward21@cityofchicago.org,,10805 South Halsted Street,Chicago,IL,60628,(312) 744-4810/4811,"121 North Lasalle, Room 200",Chicago,IL,60602
"Moore, David H.",17,(773) 783-3672,,Ward17@cityofchicago.org,http://www.David.Moore@cityofchicago.org,1344 West 79th Street,Chicago,IL,60620,(312) 744-3435 / 3438,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Mitts, Emma",37,(773) 379-0960,(773) 773-0966,Ward37@cityofchicago.org,https://www.cityofchicago.org/city/en/about/wards/37.html,4924 West Chicago Avenue,Chicago,IL,60651,(312) 744-8019/5686/1454,"121 North LaSalle Street, Room 300, Office 45",Chicago,IL,60602
"Mitchell, Gregory I.",07,(773) 731-7777,(877) 961-4426,Ward07@cityofchicago.org,http://www.gregmitchell7thward.org/,2249 East 95th Street,Chicago,IL,60617,(312) 744-6833 / 3127/4096,"121 North LaSalle Street, Room 304",Chicago,IL,60602
"Martin, Matthew J.",47,(773) 868-4747,,Ward47@cityofchicago.org,http://www.aldermanmartin.com,4243 North Lincoln Avenue,Chicago,Illinois,60618,(312) 744-4021/0446/3778,"121 North LaSalle Street, Room 200, Office 7",Chicago,IL,60602
"Manaa-Hoppenworth, Leni",48,(773) 784-5277,,Ward48@cityofchicago.org,https://www.the48thward.org/,1129  West Bryn Mawr Avenue,Chicago,IL,60660,(312) 744-6860/6834,"121 North Lasalle, Room 300",Chicago,IL,60602
"Lopez, Raymond A.",15,(773) 823-1539,(773) 424-8720,Ward15@cityofchicago.org,http://www.the15thward.org,2650 West 51st Street,Chicago,IL,60632,(312) 744-4321 / 4322,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Lee, Nicole T. ",11,(773) 254-6677,,Ward11@cityofchicago.org,,3659 South Halsted Street,Chicago,IL,60609,(312) 744-6663 / 6664,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Lawson, Bennett R.",44,(773) 525-6034,,Ward44@cityofchicago.org,,"3223 North Sheffield Avenue, Suite A",Chicago,IL,60657,(312) 744-3073/3133,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"La Spata, Daniel",01,(872) 206-2685,(312) 448-8829,Ward01@cityofchicago.org,https://www.the1stward.com/,1958 North Milwaukee Avenue,Chicago,IL,60647,(312) 744-3063 / 3074/6813,"121 North LaSalle Street, Room 300, Office 13",Chicago,IL,60602
"Knudsen, Timothy R.",43,(773) 348-9500,(773) 348-9594,Ward43@cityofchicago.org,https://ward43.org,2523 North Halsted Street,Chicago,IL,60614,(312) 744-3071/5685,"121 North LaSalle Street, Room 200",Chicago,IL,60602
"Johnson, Brandon",Mayor,,,,https://www.chicago.gov/city/en/depts/mayor.html,"121 North LaSalle Street, 4th Floor",Chicago,IL,60602,,121 N LaSalle Street 4th Floor,Chicago,IL,60602
"Hopkins, Brian",02,(312) 744-6836 / 9867/6213,,office@aldermanhopkins.com,https://www.aldermanhopkins.com/,"121 North LaSalle Street, Room 300",Chicago,IL,60602,,,,,
"Harris, Michelle A.",08,(773) 874-3300,(773) 224-2425,Ward08@cityofchicago.org,http://www.Aldermanmichelleharris.net,8539 South Cottage Grove Avenue,Chicago,IL,60619,(312) 744-3075/6825,"121 Noth LaSalle Street, Room 200",Chicago,IL,60602
"Hall, William E.",06,(773) 241-3100,,Ward06@cityofchicago.org,,8541 South State Street,Chicago,IL,60619,(312) 744-6868,121 N. LaSalle St. Room 300,Chicago,IL,60602
"Hadden, Maria E.",49,(773) 338-5796,,Ward49@cityofchicago.org,http://www.49thward.org,1447 West Morse Avenue,Chicago,IL,60626,(312) 744-3067/3080/1672,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Gutierrez, Jeylu B.",14,773-236-0117,,Ward14@cityofchicago.org,,3124 West 59th Street,Chicago,IL,60629,312-744-6580/6511,"121 North Lasalle, Room 300",Chicago,IL,60602
"Gardiner, James M.",45,(773) 853-0799,,Ward45@cityofchicago.org,http://www.aldermangardiner.com,5460 N. Milwaukee Ave,Chicago,IL,60630,(312) 744-6841/5684,"121 North LaSalle Street, Room 200",Chicago,IL,60602
"Fuentes, Jessica L.",26,(773) 395-0143,,Ward26@cityofchicago.org,,2511 West Division Street,Chicago,IL,60602,(312) 744-6853/4198,121 N. La Salle St. Room 200,Chicago,IL,60602
"Ervin, Jason C.",28,(773) 533-0900,(773) 522-9842,Ward28@cityofchicago.org,http://www.AldermanErvin.com/,"2622 West Jackson Boulevard, Suite 200A",Chicago,IL,60612,(312) 744-3066/3097/3166,"121 North LaSalle Street, Room 200, Office 18",Chicago,IL,60602
"Dowell, Pat",03,(773) 373-9273,(773) 373-6852,Ward03@cityofchicago.org,http://www.ward03chicago.com,5046 South State Street,Chicago,IL,60609,(312) 744-8734 / 6712/3380,"121 North LaSalle Street, Room 302",Chicago,IL,60602
"Curtis, Derrick G.",18,(773) 284-5057,(773) 284-5956,Ward18@cityofchicago.org,,8359 South Pulaski Road,Chicago,IL,60652,(312) 744-6856 / 3087,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Cruz, Ruth",30,(773) 628-7874,,Ward30@cityofchicago.org,,5418 W. Belmont Ave,Chicago,IL,60641,(312) 744-3304/3305,121 N. LaSalle St. Room 200,Chicago,IL,60602
"Conway, William",34,(312) 744-6820,,Ward34@cityofchicago.org,,"121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6820/6829,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Coleman, Stephanie D.",16,(773) 306-1981,,Ward16@cityofchicago.org,https://www.16thward.org,"1137 West 63rd Street, Unit C",Chicago,IL,60621,(312) 744-6850 / 6854,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Clay, Angela",46,(312) 744-6831,,Ward46@cityofchicago.org,,4544 North Broadway,Chicago,IL,60640,312-744-6831/5694,121 N. La Salle Room 200,Chicago,IL,60602
"Chico, Peter",10,(773) 768-8138,,Ward10@cityofchicago.org,,10500 South Ewing Avenue,Chicago,IL,60617,(312) 744-3078/5687,"121 North LaSalle Street, Room 200",Chicago,IL,60602
"Cardona, Jr., Felix",31,(773) 824-2000,(773) 826-2006,Ward31@cityofchicago.org,,4606 West Diversey Avenue,Chicago,IL,60639,(312) 744-6102/6123,"121 North LaSalle Street, Room 200, Office 19",Chicago,IL,60602
"Burnett, Walter R.",27,(312) 432-1995,(312) 432-1049,Ward27@cityofchicago.org,http://aldermanburnett.com/,"4 North Western Avenue, Unit 1C",Chicago,IL,60618,(312) 744-6124/6125,"121 North LaSalle Street, Room 300, Office 38",Chicago,IL,60602
"Beale, Anthony",09,(773) 785-1100,(773) 785-2900,Ward09@cityofchicago.org,http://www.Ward09.com,34 East 112th Place,Chicago,IL,60628,(312) 744-6838 / 3061,"121 North LaSalle Street, Room 200",Chicago,IL,60602
